trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.4, 'e': 0.8921135361019288}",25,7,-4.742297557161164,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.4, 'e': 0.8912936225975896}",20,0,-45.43675030434989,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
141,False,"{'a': 0.4, 'e': 0.8904730362834122}",20,0,-128.14820182745754,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
142,False,"{'a': 0.4, 'e': 0.8896517760542926}",25,6,-73.67702166280701,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
143,False,"{'a': 0.4, 'e': 0.8888298408024017}",20,0,-77.52838688393862,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
144,False,"{'a': 0.4, 'e': 0.8880072294171766}",20,0,-62.456449775960046,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
145,False,"{'a': 0.4, 'e': 0.8871839407853114}",30,0,-6.891868438784529,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.4, 'e': 0.886359973790748}",20,0,-70.21219452244341,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
147,False,"{'a': 0.4, 'e': 0.8855353273146679}",30,0,-187.1620556457341,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
148,False,"{'a': 0.4, 'e': 0.8847100002354816}",30,0,-206.84467414288707,"{0: 16, 1: 3, 2: 5, 3: 4, 4: 2}",0
149,False,"{'a': 0.4, 'e': 0.8838839914288209}",20,0,-78.70799265501147,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
150,False,"{'a': 0.4, 'e': 0.8830572997675287}",30,0,-97.94186444327374,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
151,False,"{'a': 0.4, 'e': 0.8822299241216502}",30,9,-131.9092942457148,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 2}",1
152,False,"{'a': 0.4, 'e': 0.8814018633584239}",25,7,-104.49999405142471,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
153,False,"{'a': 0.4, 'e': 0.8805731163422715}",35,0,-181.49848690610136,"{0: 22, 1: 3, 2: 5, 3: 3, 4: 2}",0
154,False,"{'a': 0.4, 'e': 0.8797436819347896}",25,0,-42.18038437093531,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
155,False,"{'a': 0.4, 'e': 0.8789135589947391}",30,0,-117.7433081301209,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
156,False,"{'a': 0.4, 'e': 0.878082746378037}",25,0,-193.07450542380548,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
157,False,"{'a': 0.4, 'e': 0.877251242937746}",25,0,-126.59303370841181,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
158,False,"{'a': 0.4, 'e': 0.8764190475240659}",25,0,-88.7611157817847,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
159,False,"{'a': 0.4, 'e': 0.8755861589843227}",25,0,-131.2146832379509,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
160,False,"{'a': 0.4, 'e': 0.8747525761629605}",30,0,-78.89784399205593,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
161,False,"{'a': 0.4, 'e': 0.8739182979015312}",20,0,-139.82519995862978,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
162,False,"{'a': 0.4, 'e': 0.8730833230386844}",20,0,-153.47117537651073,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
163,False,"{'a': 0.4, 'e': 0.8722476504101587}",20,0,-28.89773225006961,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
164,False,"{'a': 0.4, 'e': 0.8714112788487711}",25,7,-98.23998543001566,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 1}",1
165,False,"{'a': 0.4, 'e': 0.8705742071844078}",20,0,-98.44261353689603,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
166,False,"{'a': 0.4, 'e': 0.8697364342440139}",20,5,-148.55556389893036,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 3}",1
167,False,"{'a': 0.4, 'e': 0.8688979588515839}",20,0,-111.33624407977281,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
168,False,"{'a': 0.4, 'e': 0.8680587798281517}",35,0,-74.13204617896686,"{0: 28, 1: 1, 2: 4, 3: 1, 4: 1}",0
169,False,"{'a': 0.4, 'e': 0.8672188959917806}",20,0,-26.586952146346018,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
170,False,"{'a': 0.4, 'e': 0.8663783061575531}",20,0,-160.7504983459747,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
171,False,"{'a': 0.4, 'e': 0.8655370091375613}",25,0,-157.5363914985812,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
172,False,"{'a': 0.4, 'e': 0.8646950037408966}",25,7,-11.835350683621769,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.8638522887736397}",20,0,-195.04117599382818,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
174,False,"{'a': 0.4, 'e': 0.8630088630388503}",35,0,-151.94419100631356,"{0: 23, 1: 3, 2: 5, 3: 2, 4: 2}",0
175,False,"{'a': 0.4, 'e': 0.8621647253365569}",20,0,-15.557326423277502,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
176,False,"{'a': 0.4, 'e': 0.8613198744637464}",25,0,-153.72968877237804,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
177,False,"{'a': 0.4, 'e': 0.8604743092143544}",20,0,-212.94317190791142,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 5}",0
178,False,"{'a': 0.4, 'e': 0.8596280283792544}",25,0,-56.40688803456029,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
179,False,"{'a': 0.4, 'e': 0.8587810307462475}",30,0,-79.36737434571236,"{0: 19, 1: 6, 2: 3, 3: 2, 4: 0}",0
180,False,"{'a': 0.4, 'e': 0.8579333151000517}",25,0,-57.40517042914702,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
181,False,"{'a': 0.4, 'e': 0.8570848802222921}",25,4,-129.82637766767922,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 1}",1
